"Giving_Team","Receiving_Team","Same.School","Flair_1_Points","Flair_2_Points","Total_Points_Given"
"Air Force","Air Force",TRUE,32.644,8.684,41.328
"Air Force","Akron",FALSE,2,0.334,2.334
"Air Force","Alabama",FALSE,2,6.346,8.346
"Air Force","Appalachian State",FALSE,NA,2.004,2.004
"Air Force","Arizona",FALSE,NA,1.002,1.002
"Air Force","Arizona State",FALSE,NA,0.334,0.334
"Air Force","Arkansas",FALSE,1,0.668,1.668
"Air Force","Arkansas State",FALSE,NA,0.668,0.668
"Air Force","Army",FALSE,8.662,7.014,15.676
"Air Force","Auburn",FALSE,1,2.338,3.338
"Air Force","BYU",FALSE,3.332,0.668,4
"Air Force","Ball State",FALSE,NA,NA,0
"Air Force","Baylor",FALSE,1,1.002,2.002
"Air Force","Boise State",FALSE,2,1.002,3.002
"Air Force","Boston College",FALSE,NA,1.336,1.336
"Air Force","Bowling Green",FALSE,0.666,NA,0.666
"Air Force","Buffalo",FALSE,1.666,NA,1.666
"Air Force","California",FALSE,1,3.34,4.34
"Air Force","Central Michigan",FALSE,0.666,NA,0.666
"Air Force","Charlotte",FALSE,NA,NA,0
"Air Force","Cincinnati",FALSE,NA,0.668,0.668
"Air Force","Clemson",FALSE,3,4.008,7.008
"Air Force","Coastal Carolina",FALSE,NA,NA,0
"Air Force","Colorado",FALSE,0.666,0.334,1
"Air Force","Colorado State",FALSE,2.332,2.004,4.336
"Air Force","Connecticut",FALSE,NA,1.67,1.67
"Air Force","Duke",FALSE,NA,NA,0
"Air Force","East Carolina",FALSE,NA,NA,0
"Air Force","Eastern Michigan",FALSE,NA,0.334,0.334
"Air Force","FIU",FALSE,NA,NA,0
"Air Force","Florida",FALSE,1,1.336,2.336
"Air Force","Florida Atlantic",FALSE,NA,NA,0
"Air Force","Florida State",FALSE,1.998,20.04,22.038
"Air Force","Fresno State",FALSE,NA,NA,0
"Air Force","Georgia",FALSE,1,4.342,5.342
"Air Force","Georgia Southern",FALSE,NA,0.668,0.668
"Air Force","Georgia State",FALSE,NA,0.334,0.334
"Air Force","Georgia Tech",FALSE,NA,1.336,1.336
"Air Force","Hawai'i",FALSE,0.666,1.002,1.668
"Air Force","Houston",FALSE,1,1.002,2.002
"Air Force","Illinois",FALSE,1.666,3.674,5.34
"Air Force","Indiana",FALSE,NA,0.334,0.334
"Air Force","Iowa",FALSE,NA,1.002,1.002
"Air Force","Iowa State",FALSE,1,1.336,2.336
"Air Force","Kansas",FALSE,1.998,2.004,4.002
"Air Force","Kansas State",FALSE,1,1.67,2.67
"Air Force","Kent State",FALSE,NA,1.336,1.336
"Air Force","Kentucky",FALSE,NA,5.678,5.678
"Air Force","LSU",FALSE,1.666,4.008,5.674
"Air Force","Liberty",FALSE,1,0.334,1.334
"Air Force","Louisiana Monroe",FALSE,NA,NA,0
"Air Force","Louisiana Tech",FALSE,1.332,NA,1.332
"Air Force","Louisiana-Lafayette",FALSE,NA,NA,0
"Air Force","Louisville",FALSE,1,2.338,3.338
"Air Force","Marshall",FALSE,NA,NA,0
"Air Force","Maryland",FALSE,1,3.006,4.006
"Air Force","Memphis",FALSE,1,NA,1
"Air Force","Miami",FALSE,2,2.672,4.672
"Air Force","Miami (OH)",FALSE,NA,0.668,0.668
"Air Force","Michigan",FALSE,1.666,0.668,2.334
"Air Force","Michigan State",FALSE,1,2.672,3.672
"Air Force","Middle Tennessee",FALSE,NA,NA,0
"Air Force","Minnesota",FALSE,1,6.346,7.346
"Air Force","Mississippi State",FALSE,1,2.338,3.338
"Air Force","Missouri",FALSE,NA,5.01,5.01
"Air Force","NC State",FALSE,NA,7.014,7.014
"Air Force","Navy",FALSE,10.656,5.01,15.666
"Air Force","Nebraska",FALSE,3.998,9.018,13.016
"Air Force","Nevada",FALSE,2.664,NA,2.664
"Air Force","New Mexico",FALSE,0.666,0.334,1
"Air Force","New Mexico State",FALSE,NA,NA,0
"Air Force","North Carolina",FALSE,1,NA,1
"Air Force","North Texas",FALSE,NA,NA,0
"Air Force","Northern Illinois",FALSE,0.666,1.67,2.336
"Air Force","Northwestern",FALSE,NA,2.004,2.004
"Air Force","Notre Dame",FALSE,2.998,13.694,16.692
"Air Force","Ohio",FALSE,NA,NA,0
"Air Force","Ohio State",FALSE,2.332,4.008,6.34
"Air Force","Oklahoma",FALSE,3,7.014,10.014
"Air Force","Oklahoma State",FALSE,NA,4.342,4.342
"Air Force","Old Dominion",FALSE,NA,NA,0
"Air Force","Ole Miss",FALSE,NA,1.336,1.336
"Air Force","Oregon",FALSE,NA,0.668,0.668
"Air Force","Oregon State",FALSE,NA,5.01,5.01
"Air Force","Penn State",FALSE,1,6.346,7.346
"Air Force","Pittsburgh",FALSE,NA,3.674,3.674
"Air Force","Purdue",FALSE,1,1.336,2.336
"Air Force","Rice",FALSE,1,0.668,1.668
"Air Force","Rutgers",FALSE,NA,1.336,1.336
"Air Force","SMU",FALSE,1.332,0.334,1.666
"Air Force","San Diego State",FALSE,NA,0.334,0.334
"Air Force","San Jose State",FALSE,NA,NA,0
"Air Force","South Alabama",FALSE,NA,NA,0
"Air Force","South Carolina",FALSE,1,3.34,4.34
"Air Force","Southern Miss",FALSE,NA,1.002,1.002
"Air Force","Stanford",FALSE,0.666,1.002,1.668
"Air Force","Syracuse",FALSE,1,1.336,2.336
"Air Force","TCU",FALSE,1,3.006,4.006
"Air Force","Temple",FALSE,NA,0.334,0.334
"Air Force","Tennessee",FALSE,1,1.002,2.002
"Air Force","Texas",FALSE,NA,4.342,4.342
"Air Force","Texas A&M",FALSE,1,4.676,5.676
"Air Force","Texas State",FALSE,NA,0.668,0.668
"Air Force","Texas Tech",FALSE,2.666,2.672,5.338
"Air Force","Toledo",FALSE,NA,NA,0
"Air Force","Troy",FALSE,2,0.334,2.334
"Air Force","Tulane",FALSE,NA,0.334,0.334
"Air Force","Tulsa",FALSE,NA,1.336,1.336
"Air Force","UAB",FALSE,NA,NA,0
"Air Force","UCF",FALSE,4,2.672,6.672
"Air Force","UCLA",FALSE,NA,NA,0
"Air Force","UNLV",FALSE,0.666,0.334,1
"Air Force","USC",FALSE,2,0.668,2.668
"Air Force","USF",FALSE,NA,1.002,1.002
"Air Force","UTEP",FALSE,NA,0.334,0.334
"Air Force","UTSA",FALSE,NA,0.334,0.334
"Air Force","Utah",FALSE,1,2.672,3.672
"Air Force","Utah State",FALSE,3.996,1.002,4.998
"Air Force","Vanderbilt",FALSE,NA,2.004,2.004
"Air Force","Virginia",FALSE,0.666,NA,0.666
"Air Force","Virginia Tech",FALSE,NA,2.004,2.004
"Air Force","Wake Forest",FALSE,1.332,1.002,2.334
"Air Force","Washington",FALSE,NA,2.672,2.672
"Air Force","Washington State",FALSE,NA,3.674,3.674
"Air Force","West Virginia",FALSE,NA,7.348,7.348
"Air Force","Western Kentucky",FALSE,NA,NA,0
"Air Force","Western Michigan",FALSE,NA,NA,0
"Air Force","Wisconsin",FALSE,0.666,2.672,3.338
"Air Force","Wyoming",FALSE,3,0.668,3.668
"Akron","Air Force",FALSE,NA,NA,0
"Akron","Akron",TRUE,25.664,8.016,33.68
"Akron","Alabama",FALSE,NA,1.002,1.002
"Akron","Appalachian State",FALSE,NA,5.01,5.01
"Akron","Arizona",FALSE,NA,NA,0
"Akron","Arizona State",FALSE,NA,0.334,0.334
"Akron","Arkansas",FALSE,NA,0.334,0.334
"Akron","Arkansas State",FALSE,NA,3.674,3.674
"Akron","Army",FALSE,NA,0.334,0.334
"Akron","Auburn",FALSE,2.666,1.67,4.336
"Akron","BYU",FALSE,NA,0.668,0.668
"Akron","Ball State",FALSE,NA,NA,0
"Akron","Baylor",FALSE,NA,0.334,0.334
"Akron","Boise State",FALSE,NA,NA,0
"Akron","Boston College",FALSE,1.332,NA,1.332
"Akron","Bowling Green",FALSE,NA,0.334,0.334
"Akron","Buffalo",FALSE,NA,1.002,1.002
"Akron","California",FALSE,NA,NA,0
"Akron","Central Michigan",FALSE,1,NA,1
"Akron","Charlotte",FALSE,NA,NA,0
"Akron","Cincinnati",FALSE,NA,NA,0
"Akron","Clemson",FALSE,0.666,0.334,1
"Akron","Coastal Carolina",FALSE,NA,NA,0
"Akron","Colorado",FALSE,NA,NA,0
"Akron","Colorado State",FALSE,NA,0.334,0.334
"Akron","Connecticut",FALSE,NA,NA,0
"Akron","Duke",FALSE,NA,NA,0
"Akron","East Carolina",FALSE,NA,NA,0
"Akron","Eastern Michigan",FALSE,1,NA,1
"Akron","FIU",FALSE,NA,0.334,0.334
"Akron","Florida",FALSE,NA,0.668,0.668
"Akron","Florida Atlantic",FALSE,NA,NA,0
"Akron","Florida State",FALSE,1,1.336,2.336
"Akron","Fresno State",FALSE,NA,NA,0
"Akron","Georgia",FALSE,NA,2.672,2.672
"Akron","Georgia Southern",FALSE,NA,1.002,1.002
"Akron","Georgia State",FALSE,NA,NA,0
"Akron","Georgia Tech",FALSE,NA,NA,0
"Akron","Hawai'i",FALSE,NA,0.334,0.334
"Akron","Houston",FALSE,NA,NA,0
"Akron","Illinois",FALSE,NA,NA,0
"Akron","Indiana",FALSE,2,NA,2
"Akron","Iowa",FALSE,0.666,NA,0.666
"Akron","Iowa State",FALSE,1,3.34,4.34
"Akron","Kansas",FALSE,NA,0.334,0.334
"Akron","Kansas State",FALSE,1.332,NA,1.332
"Akron","Kent State",FALSE,2,1.002,3.002
"Akron","Kentucky",FALSE,NA,NA,0
"Akron","LSU",FALSE,NA,NA,0
"Akron","Liberty",FALSE,NA,NA,0
"Akron","Louisiana Monroe",FALSE,NA,NA,0
"Akron","Louisiana Tech",FALSE,NA,NA,0
"Akron","Louisiana-Lafayette",FALSE,NA,NA,0
"Akron","Louisville",FALSE,NA,0.334,0.334
"Akron","Marshall",FALSE,NA,NA,0
"Akron","Maryland",FALSE,NA,1.336,1.336
"Akron","Memphis",FALSE,NA,NA,0
"Akron","Miami",FALSE,NA,NA,0
"Akron","Miami (OH)",FALSE,1,NA,1
"Akron","Michigan",FALSE,1,0.668,1.668
"Akron","Michigan State",FALSE,NA,2.004,2.004
"Akron","Middle Tennessee",FALSE,NA,NA,0
"Akron","Minnesota",FALSE,NA,0.334,0.334
"Akron","Mississippi State",FALSE,NA,0.668,0.668
"Akron","Missouri",FALSE,NA,0.334,0.334
"Akron","NC State",FALSE,NA,NA,0
"Akron","Navy",FALSE,NA,NA,0
"Akron","Nebraska",FALSE,2,1.336,3.336
"Akron","Nevada",FALSE,NA,NA,0
"Akron","New Mexico",FALSE,NA,NA,0
"Akron","New Mexico State",FALSE,NA,0.334,0.334
"Akron","North Carolina",FALSE,NA,NA,0
"Akron","North Texas",FALSE,NA,NA,0
"Akron","Northern Illinois",FALSE,NA,NA,0
"Akron","Northwestern",FALSE,11.332,1.67,13.002
"Akron","Notre Dame",FALSE,NA,1.002,1.002
"Akron","Ohio",FALSE,NA,1.002,1.002
"Akron","Ohio State",FALSE,1.998,7.682,9.68
"Akron","Oklahoma",FALSE,NA,0.668,0.668
"Akron","Oklahoma State",FALSE,NA,0.334,0.334
"Akron","Old Dominion",FALSE,NA,NA,0
"Akron","Ole Miss",FALSE,NA,1.002,1.002
"Akron","Oregon",FALSE,NA,NA,0
"Akron","Oregon State",FALSE,NA,2.672,2.672
"Akron","Penn State",FALSE,2,2.004,4.004
"Akron","Pittsburgh",FALSE,NA,NA,0
"Akron","Purdue",FALSE,NA,2.004,2.004
"Akron","Rice",FALSE,NA,NA,0
"Akron","Rutgers",FALSE,1,0.668,1.668
"Akron","SMU",FALSE,NA,0.334,0.334
"Akron","San Diego State",FALSE,NA,NA,0
"Akron","San Jose State",FALSE,NA,NA,0
"Akron","South Alabama",FALSE,NA,NA,0
"Akron","South Carolina",FALSE,0.666,2.004,2.67
"Akron","Southern Miss",FALSE,NA,NA,0
"Akron","Stanford",FALSE,NA,NA,0
"Akron","Syracuse",FALSE,NA,NA,0
"Akron","TCU",FALSE,0.666,1.002,1.668
"Akron","Temple",FALSE,NA,2.672,2.672
"Akron","Tennessee",FALSE,NA,NA,0
"Akron","Texas",FALSE,NA,1.002,1.002
"Akron","Texas A&M",FALSE,NA,NA,0
"Akron","Texas State",FALSE,NA,NA,0
"Akron","Texas Tech",FALSE,NA,0.334,0.334
"Akron","Toledo",FALSE,NA,0.334,0.334
"Akron","Troy",FALSE,NA,NA,0
"Akron","Tulane",FALSE,NA,0.668,0.668
"Akron","Tulsa",FALSE,NA,2.338,2.338
"Akron","UAB",FALSE,NA,NA,0
"Akron","UCF",FALSE,NA,0.334,0.334
"Akron","UCLA",FALSE,1.332,0.334,1.666
"Akron","UNLV",FALSE,NA,0.334,0.334
"Akron","USC",FALSE,NA,1.002,1.002
"Akron","USF",FALSE,NA,NA,0
"Akron","UTEP",FALSE,NA,NA,0
"Akron","UTSA",FALSE,NA,NA,0
"Akron","Utah",FALSE,NA,NA,0
"Akron","Utah State",FALSE,NA,1.002,1.002
"Akron","Vanderbilt",FALSE,NA,0.334,0.334
"Akron","Virginia",FALSE,NA,NA,0
"Akron","Virginia Tech",FALSE,NA,2.004,2.004
"Akron","Wake Forest",FALSE,0.666,NA,0.666
"Akron","Washington",FALSE,NA,NA,0
"Akron","Washington State",FALSE,NA,0.334,0.334
"Akron","West Virginia",FALSE,NA,NA,0
"Akron","Western Kentucky",FALSE,NA,NA,0
"Akron","Western Michigan",FALSE,NA,NA,0
"Akron","Wisconsin",FALSE,NA,0.334,0.334
"Akron","Wyoming",FALSE,NA,0.334,0.334
"Alabama","Air Force",FALSE,28.994,0.668,29.662
"Alabama","Akron",FALSE,35.324,2.338,37.662
"Alabama","Alabama",TRUE,2600.726,61.122,2661.848
"Alabama","Appalachian State",FALSE,65.974,8.684,74.658
"Alabama","Arizona",FALSE,92.962,4.342,97.304
"Alabama","Arizona State",FALSE,125.278,4.676,129.954
"Alabama","Arkansas",FALSE,325.6,11.356,336.956
"Alabama","Arkansas State",FALSE,327.582,9.352,336.934
"Alabama","Army",FALSE,143.618,2.338,145.956
"Alabama","Auburn",FALSE,974.114,23.38,997.494
"Alabama","BYU",FALSE,49.654,2.004,51.658
"Alabama","Ball State",FALSE,7.328,0.334,7.662
"Alabama","Baylor",FALSE,51.978,7.682,59.66
"Alabama","Boise State",FALSE,71.978,2.338,74.316
"Alabama","Boston College",FALSE,84.308,7.348,91.656
"Alabama","Bowling Green",FALSE,17.328,3.34,20.668
"Alabama","Buffalo",FALSE,64.984,6.346,71.33
"Alabama","California",FALSE,82.282,3.34,85.622
"Alabama","Central Michigan",FALSE,17.996,5.678,23.674
"Alabama","Charlotte",FALSE,21.328,0.668,21.996
"Alabama","Cincinnati",FALSE,66.976,4.008,70.984
"Alabama","Clemson",FALSE,318.568,23.046,341.614
"Alabama","Coastal Carolina",FALSE,6.664,0.334,6.998
"Alabama","Colorado",FALSE,58.642,2.338,60.98
"Alabama","Colorado State",FALSE,59.98,2.338,62.318
"Alabama","Connecticut",FALSE,20.992,9.352,30.344
"Alabama","Duke",FALSE,66.312,6.346,72.658
"Alabama","East Carolina",FALSE,2.666,NA,2.666
"Alabama","Eastern Michigan",FALSE,12,1.336,13.336
"Alabama","FIU",FALSE,16.998,1.002,18
"Alabama","Florida",FALSE,248.604,11.356,259.96
"Alabama","Florida Atlantic",FALSE,4.664,NA,4.664
"Alabama","Florida State",FALSE,213.592,9.352,222.944
"Alabama","Fresno State",FALSE,49.654,1.67,51.324
"Alabama","Georgia",FALSE,509.846,15.698,525.544
"Alabama","Georgia Southern",FALSE,41.988,3.006,44.994
"Alabama","Georgia State",FALSE,36.994,9.352,46.346
"Alabama","Georgia Tech",FALSE,101.624,10.02,111.644
"Alabama","Hawai'i",FALSE,59.97,2.672,62.642
"Alabama","Houston",FALSE,58.646,7.682,66.328
"Alabama","Illinois",FALSE,53.654,14.028,67.682
"Alabama","Indiana",FALSE,31.988,5.01,36.998
"Alabama","Iowa",FALSE,57.982,1.67,59.652
"Alabama","Iowa State",FALSE,61.98,2.672,64.652
"Alabama","Kansas",FALSE,115.296,8.684,123.98
"Alabama","Kansas State",FALSE,51.982,10.688,62.67
"Alabama","Kent State",FALSE,26.322,4.008,30.33
"Alabama","Kentucky",FALSE,230.932,21.042,251.974
"Alabama","LSU",FALSE,778.132,17.368,795.5
"Alabama","Liberty",FALSE,18.66,1.336,19.996
"Alabama","Louisiana Monroe",FALSE,1,NA,1
"Alabama","Louisiana Tech",FALSE,19.328,1.67,20.998
"Alabama","Louisiana-Lafayette",FALSE,1.666,NA,1.666
"Alabama","Louisville",FALSE,436.906,23.38,460.286
"Alabama","Marshall",FALSE,15.658,0.668,16.326
"Alabama","Maryland",FALSE,194.286,9.352,203.638
"Alabama","Memphis",FALSE,103.304,8.35,111.654
"Alabama","Miami",FALSE,218.606,6.68,225.286
"Alabama","Miami (OH)",FALSE,23.996,0.334,24.33
"Alabama","Michigan",FALSE,95.64,6.68,102.32
"Alabama","Michigan State",FALSE,96.304,11.69,107.994
"Alabama","Middle Tennessee",FALSE,51.646,3.34,54.986
"Alabama","Minnesota",FALSE,46.656,12.692,59.348
"Alabama","Mississippi State",FALSE,669.842,46.426,716.268
"Alabama","Missouri",FALSE,424.562,11.69,436.252
"Alabama","NC State",FALSE,63.646,2.004,65.65
"Alabama","Navy",FALSE,108.298,6.012,114.31
"Alabama","Nebraska",FALSE,134.626,14.362,148.988
"Alabama","Nevada",FALSE,38.304,1.002,39.306
"Alabama","New Mexico",FALSE,4.332,0.668,5
"Alabama","New Mexico State",FALSE,35.32,1.002,36.322
"Alabama","North Carolina",FALSE,114.616,4.008,118.624
"Alabama","North Texas",FALSE,50.978,9.352,60.33
"Alabama","Northern Illinois",FALSE,23.66,2.672,26.332
"Alabama","Northwestern",FALSE,134.298,7.682,141.98
"Alabama","Notre Dame",FALSE,196.612,4.676,201.288
"Alabama","Ohio",FALSE,43.652,3.006,46.658
"Alabama","Ohio State",FALSE,317.568,27.388,344.956
"Alabama","Oklahoma",FALSE,336.236,10.354,346.59
"Alabama","Oklahoma State",FALSE,78.972,6.68,85.652
"Alabama","Old Dominion",FALSE,22.324,0.334,22.658
"Alabama","Ole Miss",FALSE,558.182,19.706,577.888
"Alabama","Oregon",FALSE,62.652,2.672,65.324
"Alabama","Oregon State",FALSE,190.172,3.34,193.512
"Alabama","Penn State",FALSE,142.294,5.344,147.638
"Alabama","Pittsburgh",FALSE,73.302,6.012,79.314
"Alabama","Purdue",FALSE,161.294,14.028,175.322
"Alabama","Rice",FALSE,24.324,0.334,24.658
"Alabama","Rutgers",FALSE,63.64,4.676,68.316
"Alabama","SMU",FALSE,72.984,2.004,74.988
"Alabama","San Diego State",FALSE,70.976,2.338,73.314
"Alabama","San Jose State",FALSE,0.666,NA,0.666
"Alabama","South Alabama",FALSE,80.978,3.006,83.984
"Alabama","South Carolina",FALSE,124.302,8.016,132.318
"Alabama","Southern Miss",FALSE,30.654,3.674,34.328
"Alabama","Stanford",FALSE,130.296,6.68,136.976
"Alabama","Syracuse",FALSE,124.626,7.682,132.308
"Alabama","TCU",FALSE,87.304,6.68,93.984
"Alabama","Temple",FALSE,113.974,8.684,122.658
"Alabama","Tennessee",FALSE,506.548,17.034,523.582
"Alabama","Texas",FALSE,213.59,26.72,240.31
"Alabama","Texas A&M",FALSE,581.188,19.372,600.56
"Alabama","Texas State",FALSE,7.996,1.67,9.666
"Alabama","Texas Tech",FALSE,96.974,5.01,101.984
"Alabama","Toledo",FALSE,21.994,2.672,24.666
"Alabama","Troy",FALSE,138.96,29.058,168.018
"Alabama","Tulane",FALSE,62.984,5.344,68.328
"Alabama","Tulsa",FALSE,36.99,2.004,38.994
"Alabama","UAB",FALSE,146.94,8.35,155.29
"Alabama","UCF",FALSE,337.564,15.698,353.262
"Alabama","UCLA",FALSE,93.29,7.682,100.972
"Alabama","UNLV",FALSE,11.998,0.668,12.666
"Alabama","USC",FALSE,156.614,8.35,164.964
"Alabama","USF",FALSE,129.628,52.772,182.4
"Alabama","UTEP",FALSE,17.66,0.334,17.994
"Alabama","UTSA",FALSE,11.664,0.334,11.998
"Alabama","Utah",FALSE,71.302,6.012,77.314
"Alabama","Utah State",FALSE,38.994,1.002,39.996
"Alabama","Vanderbilt",FALSE,103.642,6.012,109.654
"Alabama","Virginia",FALSE,59.976,7.348,67.324
"Alabama","Virginia Tech",FALSE,104.958,7.348,112.306
"Alabama","Wake Forest",FALSE,101.978,9.018,110.996
"Alabama","Washington",FALSE,132.624,6.012,138.636
"Alabama","Washington State",FALSE,125.256,11.356,136.612
"Alabama","West Virginia",FALSE,146.628,7.348,153.976
"Alabama","Western Kentucky",FALSE,4.666,NA,4.666
"Alabama","Western Michigan",FALSE,27.658,3.006,30.664
"Alabama","Wisconsin",FALSE,95.634,3.674,99.308
"Alabama","Wyoming",FALSE,33.652,0.334,33.986
"Appalachian State","Air Force",FALSE,3,0.668,3.668
"Appalachian State","Akron",FALSE,1.666,2.672,4.338
"Appalachian State","Alabama",FALSE,6.664,5.344,12.008
"Appalachian State","Appalachian State",TRUE,1149.5,38.744,1188.244
"Appalachian State","Arizona",FALSE,3.666,0.668,4.334
"Appalachian State","Arizona State",FALSE,7,2.338,9.338
"Appalachian State","Arkansas",FALSE,2.332,1.336,3.668
"Appalachian State","Arkansas State",FALSE,191.306,6.012,197.318
"Appalachian State","Army",FALSE,15.988,5.01,20.998
"Appalachian State","Auburn",FALSE,1.666,4.676,6.342
"Appalachian State","BYU",FALSE,1,2.004,3.004
"Appalachian State","Ball State",FALSE,2,NA,2
"Appalachian State","Baylor",FALSE,1.332,2.338,3.67
"Appalachian State","Boise State",FALSE,5.332,2.338,7.67
"Appalachian State","Boston College",FALSE,7.998,7.014,15.012
"Appalachian State","Bowling Green",FALSE,0.666,NA,0.666
"Appalachian State","Buffalo",FALSE,7.998,2.004,10.002
"Appalachian State","California",FALSE,1,1.336,2.336
"Appalachian State","Central Michigan",FALSE,3,0.334,3.334
"Appalachian State","Charlotte",FALSE,83.658,1.67,85.328
"Appalachian State","Cincinnati",FALSE,2,5.678,7.678
"Appalachian State","Clemson",FALSE,21.326,27.722,49.048
"Appalachian State","Coastal Carolina",FALSE,36.992,1.002,37.994
"Appalachian State","Colorado",FALSE,1.666,0.668,2.334
"Appalachian State","Colorado State",FALSE,3,0.668,3.668
"Appalachian State","Connecticut",FALSE,1,7.682,8.682
"Appalachian State","Duke",FALSE,21.316,8.016,29.332
"Appalachian State","East Carolina",FALSE,5,2.004,7.004
"Appalachian State","Eastern Michigan",FALSE,1.666,0.334,2
"Appalachian State","FIU",FALSE,1.666,0.334,2
"Appalachian State","Florida",FALSE,2.332,3.006,5.338
"Appalachian State","Florida Atlantic",FALSE,NA,NA,0
"Appalachian State","Florida State",FALSE,7.998,7.014,15.012
"Appalachian State","Fresno State",FALSE,4.666,NA,4.666
"Appalachian State","Georgia",FALSE,219.636,14.362,233.998
"Appalachian State","Georgia Southern",FALSE,236.636,6.346,242.982
"Appalachian State","Georgia State",FALSE,79.66,3.674,83.334
"Appalachian State","Georgia Tech",FALSE,11.332,3.674,15.006
"Appalachian State","Hawai'i",FALSE,6.666,3.674,10.34
"Appalachian State","Houston",FALSE,3,5.678,8.678
"Appalachian State","Illinois",FALSE,12.666,9.352,22.018
"Appalachian State","Indiana",FALSE,2,7.682,9.682
"Appalachian State","Iowa",FALSE,5,4.008,9.008
"Appalachian State","Iowa State",FALSE,2.666,4.008,6.674
"Appalachian State","Kansas",FALSE,3.332,2.338,5.67
"Appalachian State","Kansas State",FALSE,NA,1.002,1.002
"Appalachian State","Kent State",FALSE,7.666,2.672,10.338
"Appalachian State","Kentucky",FALSE,5.666,4.342,10.008
"Appalachian State","LSU",FALSE,10,12.024,22.024
"Appalachian State","Liberty",FALSE,16.998,1.336,18.334
"Appalachian State","Louisiana Monroe",FALSE,NA,NA,0
"Appalachian State","Louisiana Tech",FALSE,1.666,0.668,2.334
"Appalachian State","Louisiana-Lafayette",FALSE,1,NA,1
"Appalachian State","Louisville",FALSE,59.326,12.358,71.684
"Appalachian State","Marshall",FALSE,5.998,3.34,9.338
"Appalachian State","Maryland",FALSE,4,7.014,11.014
"Appalachian State","Memphis",FALSE,4,NA,4
"Appalachian State","Miami",FALSE,13.998,3.674,17.672
"Appalachian State","Miami (OH)",FALSE,0.666,NA,0.666
"Appalachian State","Michigan",FALSE,5.666,2.672,8.338
"Appalachian State","Michigan State",FALSE,5.666,6.346,12.012
"Appalachian State","Middle Tennessee",FALSE,32.332,0.334,32.666
"Appalachian State","Minnesota",FALSE,NA,3.34,3.34
"Appalachian State","Mississippi State",FALSE,3,4.342,7.342
"Appalachian State","Missouri",FALSE,NA,3.34,3.34
"Appalachian State","NC State",FALSE,25.662,51.436,77.098
"Appalachian State","Navy",FALSE,3.332,3.674,7.006
"Appalachian State","Nebraska",FALSE,6.666,3.34,10.006
"Appalachian State","Nevada",FALSE,2,NA,2
"Appalachian State","New Mexico",FALSE,NA,NA,0
"Appalachian State","New Mexico State",FALSE,6,0.334,6.334
"Appalachian State","North Carolina",FALSE,32.992,15.03,48.022
"Appalachian State","North Texas",FALSE,9,0.334,9.334
"Appalachian State","Northern Illinois",FALSE,7.996,2.672,10.668
"Appalachian State","Northwestern",FALSE,4.666,2.672,7.338
"Appalachian State","Notre Dame",FALSE,7.666,3.674,11.34
"Appalachian State","Ohio",FALSE,2,2.004,4.004
"Appalachian State","Ohio State",FALSE,20.332,15.698,36.03
"Appalachian State","Oklahoma",FALSE,4.666,5.678,10.344
"Appalachian State","Oklahoma State",FALSE,6,1.67,7.67
"Appalachian State","Old Dominion",FALSE,3,0.668,3.668
"Appalachian State","Ole Miss",FALSE,7.664,5.344,13.008
"Appalachian State","Oregon",FALSE,1,1.002,2.002
"Appalachian State","Oregon State",FALSE,0.666,3.006,3.672
"Appalachian State","Penn State",FALSE,88.988,55.444,144.432
"Appalachian State","Pittsburgh",FALSE,22.664,11.69,34.354
"Appalachian State","Purdue",FALSE,4,6.012,10.012
"Appalachian State","Rice",FALSE,0.666,1.002,1.668
"Appalachian State","Rutgers",FALSE,2,18.704,20.704
"Appalachian State","SMU",FALSE,3,0.668,3.668
"Appalachian State","San Diego State",FALSE,5,6.346,11.346
"Appalachian State","San Jose State",FALSE,NA,NA,0
"Appalachian State","South Alabama",FALSE,100.328,2.004,102.332
"Appalachian State","South Carolina",FALSE,9.662,14.362,24.024
"Appalachian State","Southern Miss",FALSE,10.332,0.334,10.666
"Appalachian State","Stanford",FALSE,5.666,2.338,8.004
"Appalachian State","Syracuse",FALSE,5.332,11.356,16.688
"Appalachian State","TCU",FALSE,0.666,4.342,5.008
"Appalachian State","Temple",FALSE,9.664,3.006,12.67
"Appalachian State","Tennessee",FALSE,6.332,3.674,10.006
"Appalachian State","Texas",FALSE,87.322,5.01,92.332
"Appalachian State","Texas A&M",FALSE,1.666,6.68,8.346
"Appalachian State","Texas State",FALSE,97.988,0.668,98.656
"Appalachian State","Texas Tech",FALSE,2.666,3.006,5.672
"Appalachian State","Toledo",FALSE,96.314,4.342,100.656
"Appalachian State","Troy",FALSE,326.98,3.34,330.32
"Appalachian State","Tulane",FALSE,6.998,2.004,9.002
"Appalachian State","Tulsa",FALSE,5.666,2.338,8.004
"Appalachian State","UAB",FALSE,6,1.002,7.002
"Appalachian State","UCF",FALSE,20.992,8.35,29.342
"Appalachian State","UCLA",FALSE,3,1.336,4.336
"Appalachian State","UNLV",FALSE,NA,0.334,0.334
"Appalachian State","USC",FALSE,2.666,4.008,6.674
"Appalachian State","USF",FALSE,7.332,30.06,37.392
"Appalachian State","UTEP",FALSE,2.666,0.334,3
"Appalachian State","UTSA",FALSE,NA,NA,0
"Appalachian State","Utah",FALSE,2,3.34,5.34
"Appalachian State","Utah State",FALSE,4,1.002,5.002
